timeframe,param_id,exit_model,friction_case,entry_mode,range_mult,ret_mult,vol_z_min,close_loc_long_min,close_loc_short_max,body_min,require_direction,stop_atr_mult,target_r,max_hold_bars,taker_fee_bps_per_side,slippage_bps_per_side,month,total_trades,trades_per_year,win_rate,ev_per_trade_r,total_ev_r,max_drawdown_r,max_losing_streak,profit_factor,average_win_r,average_loss_r
15m,range3_ret3_vz1.5_cl0.8_cs0.2_body0.5,model_a,base,next_open,3.0,3.0,1.5,0.8,0.2,0.5,True,1.0,1.5,8,4.0,5.0,2026-01,163,2020.3011664899257,0.34355828220858897,-0.610946906685587,-99.58434578975069,,,0.3747811978583234,1.065979401221883,-1.4885905818521132
15m,range3_ret3_vz1.5_cl0.8_cs0.2_body0.5,model_a,base,next_open,3.0,3.0,1.5,0.8,0.2,0.5,True,1.0,1.5,8,4.0,5.0,2026-02,130,1741.8112342376767,0.33076923076923076,-0.5020805439622229,-65.27047071508898,,,0.43616710061244035,1.1742235340050942,-1.3305986514633106
15m,range3_ret3_vz1.5_cl0.8_cs0.2_body0.5,model_a,base,next_open,3.0,3.0,1.5,0.8,0.2,0.5,True,1.0,1.5,8,4.0,5.0,2026-03,114,1443.0671480144404,0.35964912280701755,-0.46997683341576596,-53.57735900939732,,,0.47282487892876396,1.1720411474887162,-1.392206110362119
15m,range3_ret3_vz1.5_cl0.8_cs0.2_body0.5,model_a,base,next_open,3.0,3.0,1.5,0.8,0.2,0.5,True,1.0,1.5,8,4.0,5.0,2026-04,123,1546.9411764705883,0.36585365853658536,-0.5993033551945105,-73.71431268892479,,,0.3888295723594474,1.0421644686739167,-1.5463040228109106
15m,range3_ret3_vz1.5_cl0.8_cs0.2_body0.5,model_a,base,next_open,3.0,3.0,1.5,0.8,0.2,0.5,True,1.0,1.5,8,4.0,5.0,2026-05,10,1517.922077922078,0.1,-1.4088671888349544,-14.088671888349545,,,0.025982323780097037,0.3758211412089454,-1.6071658921731655
15m,range3_ret3_vz1.5_cl0.8_cs0.2_body0.65,model_a,base,next_open,3.0,3.0,1.5,0.8,0.2,0.65,True,1.0,1.5,8,4.0,5.0,2025-05,72,1032.1373671300082,0.2916666666666667,-0.6323090090995782,-45.52624865516963,,,0.3500207758014068,1.1674463165494187,-1.3733847314256356
15m,range3_ret3_vz1.5_cl0.8_cs0.2_body0.65,model_a,base,next_open,3.0,3.0,1.5,0.8,0.2,0.65,True,1.0,1.5,8,4.0,5.0,2025-06,103,1319.5440263061746,0.3106796116504854,-0.727445745480167,-74.9269117844572,,,0.29441178233913373,0.9769936049226102,-1.495643762563109
15m,range3_ret3_vz1.5_cl0.8_cs0.2_body0.65,model_a,base,next_open,3.0,3.0,1.5,0.8,0.2,0.65,True,1.0,1.5,8,4.0,5.0,2025-07,84,1025.1917855899756,0.2976190476190476,-0.711474848960368,-59.7638873126709,,,0.3146170766950365,1.0973567551158703,-1.4779289184841977
15m,range3_ret3_vz1.5_cl0.8_cs0.2_body0.65,model_a,base,next_open,3.0,3.0,1.5,0.8,0.2,0.65,True,1.0,1.5,8,4.0,5.0,2025-08,99,1217.1584852734923,0.29292929292929293,-0.6909967624254119,-68.40867948011578,,,0.32690425265244993,1.1456631197646174,-1.451898713618424
15m,range3_ret3_vz1.5_cl0.8_cs0.2_body0.65,model_a,base,next_open,3.0,3.0,1.5,0.8,0.2,0.65,True,1.0,1.5,8,4.0,5.0,2025-09,88,1129.440702781845,0.3977272727272727,-0.4949842461930748,-43.55861366499058,,,0.4689867609335259,1.0991608188479218,-1.5477215532956197
15m,range3_ret3_vz1.5_cl0.8_cs0.2_body0.65,model_a,base,next_open,3.0,3.0,1.5,0.8,0.2,0.65,True,1.0,1.5,8,4.0,5.0,2025-10,99,1272.483870967742,0.40404040404040403,-0.34792146604612956,-34.44422513856683,,,0.5740254658063056,1.160389928997061,-1.3705054626855806
15m,range3_ret3_vz1.5_cl0.8_cs0.2_body0.65,model_a,base,next_open,3.0,3.0,1.5,0.8,0.2,0.65,True,1.0,1.5,8,4.0,5.0,2025-11,81,1041.5049504950496,0.49382716049382713,-0.08486532973495561,-6.874091708531404,,,0.8727935183693147,1.1791189039606291,-1.3180206796818676
15m,range3_ret3_vz1.5_cl0.8_cs0.2_body0.65,model_a,base,next_open,3.0,3.0,1.5,0.8,0.2,0.65,True,1.0,1.5,8,4.0,5.0,2025-12,143,1719.530864197531,0.40559440559440557,-0.409443577017246,-58.55043151346618,,,0.5236012975223947,1.1095126309664867,-1.4459078130532048
