timeframe,param_id,exit_model,friction_case,range_mult,ret_mult,vol_z_min,close_loc_long_min,close_loc_short_max,body_min,require_direction,stop_atr_mult,target_r,total_trades_next_open,ev_per_trade_r_next_open,total_ev_r_next_open,max_drawdown_r_next_open,profit_factor_next_open,total_trades_next_close,ev_per_trade_r_next_close,total_ev_r_next_close,max_drawdown_r_next_close,profit_factor_next_close,ev_delta_close_minus_open_r,trade_delta_close_minus_open
1h,range1.5_ret1.5_vz1.5_cl0.8_cs0.2_body0.5,model_a,base,1.5,1.5,1.5,0.8,0.2,0.5,True,1.0,1.5,1643,-0.18418020619464792,-302.60807877780655,-322.7021639200845,0.7270306899084844,1585,-0.23895290047687037,-378.74034725583954,-398.3460444818539,0.6506455848233095,-0.05477269428222245,-58
1h,range1.5_ret1.5_vz1.5_cl0.8_cs0.2_body0.5,model_a,stress,1.5,1.5,1.5,0.8,0.2,0.5,True,1.0,1.5,1646,-0.39960156414064424,-657.7441745755004,-670.7915795055027,0.5039814050344217,1588,-0.4610538267356184,-732.153476856162,-743.9596289317989,0.4414515373087018,-0.06145226259497416,-58
1h,range1.5_ret1.5_vz1.5_cl0.8_cs0.2_body0.5,model_b,base,1.5,1.5,1.5,0.8,0.2,0.5,True,1.2,2.0,1589,-0.1407349772348059,-223.62787882610658,-247.73598466144423,0.7919139789573432,1536,-0.21083889754786322,-323.8485466335179,-337.4864823796387,0.6872446879075043,-0.07010392031305732,-53
1h,range1.5_ret1.5_vz1.5_cl0.8_cs0.2_body0.5,model_b,stress,1.5,1.5,1.5,0.8,0.2,0.5,True,1.2,2.0,1588,-0.3133904356985528,-497.66401188930183,-516.3943149423142,0.6018259533736778,1546,-0.41412494127151545,-640.2371592057629,-648.9409161049147,0.4842401987912796,-0.10073450557296265,-42
1h,range1.5_ret1.5_vz1.5_cl0.8_cs0.2_body0.65,model_a,base,1.5,1.5,1.5,0.8,0.2,0.65,True,1.0,1.5,1448,-0.15342318310873332,-222.15676914144586,-242.5745239475104,0.7668955690615065,1407,-0.22762947903348138,-320.2746770001083,-343.88675961444187,0.6624937589247736,-0.07420629592474806,-41
1h,range1.5_ret1.5_vz1.5_cl0.8_cs0.2_body0.65,model_a,stress,1.5,1.5,1.5,0.8,0.2,0.65,True,1.0,1.5,1449,-0.36688030492362694,-531.6095618343354,-543.3959677029604,0.5329635735637089,1409,-0.45028966367976275,-634.4581361247857,-647.6844284338655,0.44835458924918836,-0.08340935875613581,-40
1h,range1.5_ret1.5_vz1.5_cl0.8_cs0.2_body0.65,model_b,base,1.5,1.5,1.5,0.8,0.2,0.65,True,1.2,2.0,1407,-0.11281455719827561,-158.73008197797378,-189.25552317418402,0.82925120896959,1371,-0.20307547770431492,-278.41647993261574,-300.84702501637105,0.6955164329213608,-0.0902609205060393,-36
1h,range1.5_ret1.5_vz1.5_cl0.8_cs0.2_body0.65,model_b,stress,1.5,1.5,1.5,0.8,0.2,0.65,True,1.2,2.0,1406,-0.28654517506086835,-402.8825161355809,-425.36362707167757,0.6278324392721404,1378,-0.4131186451137376,-569.2774929667304,-582.2941804110969,0.4831790790008781,-0.12657347005286923,-28
1h,range1.5_ret1.5_vz2.5_cl0.7_cs0.3_body0.5,model_a,base,1.5,1.5,2.5,0.7,0.3,0.5,True,1.0,1.5,1361,-0.17713925478219855,-241.08652575857224,-263.7905288873399,0.7370211982191442,1310,-0.2948041160150657,-386.193391979736,-395.0966115415366,0.58549222086939,-0.11766486123286712,-51
1h,range1.5_ret1.5_vz2.5_cl0.7_cs0.3_body0.5,model_a,stress,1.5,1.5,2.5,0.7,0.3,0.5,True,1.0,1.5,1360,-0.3933938490779805,-535.0156347460535,-547.0939224309071,0.5099173974513354,1314,-0.5224799248621298,-686.5386212688386,-692.6270090197512,0.39177508895359375,-0.12908607578414932,-46
