entry_mode,exit_model,friction_case,horizon_bars,taker_fee_bps_per_side,slippage_bps_per_side,total_trades,trades_per_year,average_return_pct,median_return_pct,win_rate,cumulative_return_units,max_drawdown_units,sharpe_like,return_volatility_pct,max_losing_streak,average_win_pct,average_loss_pct,best_month,worst_month,best_month_contribution,best_symbol,worst_symbol,best_symbol_contribution,positive_month_rate,positive_symbol_rate,window,window_start,window_end
next_close,pure_horizon_6,stress,6,8.0,10.0,54,54.036986301369865,0.06248256290755468,0.060523993647236964,0.5185185185185185,0.03374058397007953,-0.23683121999428874,0.2623355096167921,1.7502441492014829,15,1.2960483708292796,-1.2659729225466103,2023-08,2023-06,7.216028357468287,XRPUSDT,AVAXUSDT,1.1599464937954949,0.5,0.4444444444444444,2023,2023-01-01T00:00:00+00:00,2024-01-01T00:00:00+00:00
next_open,pure_horizon_6,stress,6,8.0,10.0,54,54.036986301369865,2.36116007846927,1.120464094650968,0.8148148148148148,1.275026442373406,-0.08207431902529928,4.030095306839302,4.305335447127843,3,3.2144319601818134,-1.3932362010659203,2023-08,2023-03,0.7742724233111208,XRPUSDT,BNBUSDT,0.20015855741189062,0.75,1.0,2023,2023-01-01T00:00:00+00:00,2024-01-01T00:00:00+00:00
next_close,scaled_exit_6_12,base,12,4.0,5.0,54,54.036986301369865,0.2785400387878133,0.144141279307713,0.5555555555555556,0.15041162094541918,-0.1967461831742998,1.131271056548629,1.80933021493558,11,1.5216121152950655,-1.2753000568462525,2023-08,2023-06,1.9840161509321748,XRPUSDT,ADAUSDT,0.35529673573849013,0.5,0.7777777777777778,2023,2023-01-01T00:00:00+00:00,2024-01-01T00:00:00+00:00
next_open,scaled_exit_6_12,base,12,4.0,5.0,54,54.036986301369865,2.5826369036767294,1.344882502748698,0.8333333333333334,1.394623927985434,-0.07055505385843337,4.318113443260489,4.395073928474255,3,3.348676443678565,-1.2475607963324522,2023-08,2023-01,0.748921691077586,XRPUSDT,BNBUSDT,0.19345660646316223,0.875,1.0,2023,2023-01-01T00:00:00+00:00,2024-01-01T00:00:00+00:00
next_close,scaled_exit_6_12,stress,12,8.0,10.0,54,54.036986301369865,0.09823160281279703,-0.03603282500648606,0.48148148148148145,0.05304506551891039,-0.23375242620987136,0.3993600051195394,1.8075217880298815,15,1.556934324868952,-1.256278067667918,2023-08,2023-06,5.1110561791650735,XRPUSDT,ADAUSDT,0.8028181574476991,0.375,0.5555555555555556,2023,2023-01-01T00:00:00+00:00,2024-01-01T00:00:00+00:00
next_open,scaled_exit_6_12,stress,12,8.0,10.0,54,54.036986301369865,2.400025521158623,1.163508256681871,0.8148148148148148,1.2960137814256565,-0.08308663647905591,4.01680593363786,4.390681048789184,3,3.240594299309856,-1.298477102706805,2023-08,2023-01,0.7842630049313171,XRPUSDT,BNBUSDT,0.1996334834502706,0.875,1.0,2023,2023-01-01T00:00:00+00:00,2024-01-01T00:00:00+00:00
next_close,pure_horizon_12,base,12,4.0,5.0,108,107.77868852459017,3.349651572709796,2.938309286594789,0.8148148148148148,3.61762369852658,-0.33512136492797395,7.677249321057529,4.534254237912788,5,4.774256845463098,-2.9186116274047302,2024-04,2024-11,0.543546708333572,AVAXUSDT,BTCUSDT,0.22999676671016014,1.0,1.0,2024,2024-01-01T00:00:00+00:00,2025-01-01T00:00:00+00:00
next_open,pure_horizon_12,base,12,4.0,5.0,108,107.77868852459017,4.062112282076507,4.065262226352975,0.8333333333333334,4.387081264642627,-0.2669067134066532,9.004353395313688,4.688255480244372,5,5.416439642753775,-2.7095245213098424,2024-04,2024-07,0.38840846233531867,AVAXUSDT,ETHUSDT,0.2370739043508305,1.0,1.0,2024,2024-01-01T00:00:00+00:00,2025-01-01T00:00:00+00:00
next_close,pure_horizon_12,stress,12,8.0,10.0,108,107.77868852459017,3.166273558455209,2.755342409263422,0.7870370370370371,3.4195754431316256,-0.3437879126224726,7.264215827426259,4.529722247404136,5,4.754812473557235,-2.7044137364870613,2024-04,2024-11,0.5533932808449716,AVAXUSDT,BTCUSDT,0.2330711616349879,1.0,1.0,2024,2024-01-01T00:00:00+00:00,2025-01-01T00:00:00+00:00
next_open,pure_horizon_12,stress,12,8.0,10.0,108,107.77868852459017,3.878022162809005,3.881168958713814,0.8148148148148148,4.188263935833725,-0.27564144169646576,8.60488735153915,4.683569565378603,5,5.351429824761973,-2.604971549784062,2024-04,2024-07,0.38924584752586283,AVAXUSDT,ETHUSDT,0.23991258660526327,1.0,1.0,2024,2024-01-01T00:00:00+00:00,2025-01-01T00:00:00+00:00
