entry_mode,exit_model,friction_case,event_threshold,hold_bars,stop_atr_mult,target_r,taker_fee_bps_per_side,slippage_bps_per_side,month,total_trades,trades_per_year,avg_net_return_pct,median_net_return_pct,win_rate,total_net_return_units,ev_per_trade_r,total_ev_r,max_drawdown_return_units,max_drawdown_r,max_losing_streak,profit_factor,average_win_pct,average_loss_pct,best_symbol,worst_symbol,best_month,worst_month,best_symbol_contribution,best_month_contribution
next_close,fixed_horizon_12,stress,-0.02,12,,,8.0,10.0,2026-01,41,596.0298507462686,-0.18667721250471941,-0.13518646982286334,0.4634146341463415,-0.07653765712693496,-0.9491857025535374,-38.91661380469503,-0.3555757775187015,-73.22378186332827,6,0.8250843760654422,1.9001650370374739,-1.9889500643820686,AVAXUSDT,SOLUSDT,2026-01,2026-01,,
next_close,fixed_horizon_12,stress,-0.02,12,,,8.0,10.0,2026-02,43,597.1295049504951,0.7174778445671762,-0.7816335195856622,0.3953488372093023,0.3085154731638858,-0.3717653520851615,-15.985910139661943,-0.26999924480619475,-31.134225703237238,14,1.7825062924141228,4.134007517616297,-1.516406941657249,XRPUSDT,LTCUSDT,2026-02,2026-02,0.18878892347740625,1.0000000000000002
next_close,fixed_horizon_12,stress,-0.02,12,,,8.0,10.0,2026-03,7,139.69721115537848,0.7968783949470839,0.9930917917002834,0.8571428571428571,0.055781487646295876,4.1623291733412335,29.136304213388634,0.0,0.0,1,8.854419537732998,1.0480568544592304,-0.7101923621257944,ADAUSDT,SOLUSDT,2026-03,2026-03,0.3585390491233298,1.0
next_close,fixed_horizon_12,stress,-0.02,12,,,8.0,10.0,2026-04,7,112.17915904936015,-0.1953835884168821,-0.45664460053563194,0.2857142857142857,-0.013676851189181747,-0.841931660471798,-5.893521623302586,-0.021035713216022482,-5.265307284055027,5,0.6948013447229632,1.5568047947644938,-0.8962589416894324,ADAUSDT,AVAXUSDT,2026-04,2026-04,,
next_open,fixed_horizon_12,stress,-0.02,12,,,8.0,10.0,2025-05,40,706.5793450881612,0.9460923497945143,1.1017802428922503,0.825,0.37843693991780575,1.4089253488912095,56.35701395564838,-0.026512174060777938,-2.3316426308509612,3,9.376378891269415,1.2836848538093166,-0.6454151691324098,AVAXUSDT,LINKUSDT,2025-05,2025-05,0.21080949797497778,0.9999999999999999
next_open,fixed_horizon_12,stress,-0.02,12,,,8.0,10.0,2025-06,25,537.7914110429448,-0.7978806793324817,-1.0491728245496201,0.32,-0.19947016983312044,-1.2819737617268083,-32.04934404317021,-0.2502221649942098,-38.57382889534331,7,0.3507979012018931,1.3473022703444133,-1.8073785380039615,XRPUSDT,AVAXUSDT,2025-06,2025-06,,
next_open,fixed_horizon_12,stress,-0.02,12,,,8.0,10.0,2025-07,23,667.0570719602978,-0.017966145551677425,-0.4677676132487647,0.391304347826087,-0.004132213476885808,0.10923809941643088,2.5124762865779102,-0.13528452965469598,-15.00083511742669,11,0.9749729127830715,1.788638124089878,-1.1793546046069634,AVAXUSDT,XRPUSDT,2025-07,2025-07,,
next_open,fixed_horizon_12,stress,-0.02,12,,,8.0,10.0,2025-08,15,236.174225415357,-1.1158541369894783,-1.5915025653610884,0.2,-0.16737812054842177,-1.360692633746558,-20.410389506198367,-0.16481245438858036,-20.326845605155953,7,0.09889471055708467,0.6123150823458279,-1.5478964418233048,SOLUSDT,ADAUSDT,2025-08,2025-08,,
next_open,fixed_horizon_12,stress,-0.02,12,,,8.0,10.0,2025-09,9,147.5343618513324,-0.4473822524914993,0.17945483930003717,0.5555555555555556,-0.04026440272423494,-1.1133459687647471,-10.020113718882724,-0.0620096104902407,-14.46774468392719,3,0.43576535550814527,0.6219338687808159,-1.7840274040818935,ADAUSDT,SOLUSDT,2025-09,2025-09,,
next_open,fixed_horizon_12,stress,-0.02,12,,,8.0,10.0,2025-10,45,594.3050847457627,-1.097897475301615,0.7744470909840516,0.6,-0.49405386388572686,-1.4388443594071476,-64.74799617332164,-0.9680523765319814,-111.7854243678422,14,0.5183401869128157,1.9691781318693862,-5.698510886058116,SOLUSDT,LTCUSDT,2025-10,2025-10,,
