entry_mode,exit_model,friction_case,event_threshold,hold_bars,stop_atr_mult,target_r,taker_fee_bps_per_side,slippage_bps_per_side,symbol,total_trades,trades_per_year,avg_net_return_pct,median_net_return_pct,win_rate,total_net_return_units,ev_per_trade_r,total_ev_r,max_drawdown_return_units,max_drawdown_r,max_losing_streak,profit_factor,average_win_pct,average_loss_pct,best_symbol,worst_symbol,best_month,worst_month,best_symbol_contribution,best_month_contribution
next_open,stop_1atr_horizon_12,stress,-0.02,12,1.0,,8.0,10.0,XRPUSDT,35,46.66844126706468,0.4892455827593649,-0.7041302242610071,0.42857142857142855,0.17123595396577773,0.23152931675449553,8.103526086407344,-0.09354144014553734,-9.323330920197751,6,1.6986104619433058,2.7756353381637613,-1.225546733793932,XRPUSDT,XRPUSDT,2026-02,2025-07,1.0000000000000002,0.5980691066281962
next_open,stop_1atr_horizon_12,stress,-0.02,12,1.0,,8.0,10.0,SOLUSDT,42,45.64917392517281,-0.23611767690199548,-0.8327544293554177,0.21428571428571427,-0.09916942429883811,-0.5557250356420772,-23.34045149696724,-0.17496555047722778,-26.04220033204391,13,0.7045970854915051,2.6282177813193908,-1.0173000745987375,SOLUSDT,SOLUSDT,2025-10,2025-11,,
next_open,stop_1atr_horizon_12,stress,-0.02,12,1.0,,8.0,10.0,BNBUSDT,19,51.33821376281112,1.1452673142418393,-0.6514153375881176,0.3684210526315789,0.21760078970594948,0.21571175568441647,4.098523358003913,-0.05274512831535544,-5.0419817435577015,4,2.674328579860047,4.965197204681287,-1.0830251218478382,BNBUSDT,BNBUSDT,2025-10,2025-12,1.0000000000000002,0.7254591135602014
next_open,stop_1atr_horizon_12,stress,-0.02,12,1.0,,8.0,10.0,BTCUSDT,5,15.458954236839785,1.4584868328775213,-0.5439370091243191,0.4,0.07292434164387607,0.31453325228808604,1.57266626144043,-0.01772514324233856,-3.177758917083576,2,3.938285997089629,4.88715043102553,-0.8272888992211513,BTCUSDT,BTCUSDT,2026-02,2026-01,1.0,0.7954622533422328
next_close,stop_1atr_tp_1_5r,base,-0.02,12,1.0,1.5,4.0,5.0,ADAUSDT,56,57.55272876487484,-0.07487981135907301,-0.6362076403215431,0.375,-0.04193269436108089,-0.33872769953877907,-18.96875117417163,-0.16401727667195204,-20.186272034225816,6,0.879650849941966,1.4594888217322137,-0.9955009912138448,ADAUSDT,ADAUSDT,2025-10,2025-05,,
next_close,stop_1atr_tp_1_5r,base,-0.02,12,1.0,1.5,4.0,5.0,AVAXUSDT,40,41.109091974910605,0.03853277607502683,-0.5365045781283467,0.4,0.015413110430010733,-0.22679738283022516,-9.071895313209007,-0.06733338213928991,-8.524389680088607,6,1.068961258636745,1.493231331119476,-0.9312662606212727,AVAXUSDT,AVAXUSDT,2025-10,2025-05,0.9999999999999996,5.019920631776432
next_close,stop_1atr_tp_1_5r,base,-0.02,12,1.0,1.5,4.0,5.0,LINKUSDT,49,52.996175200493525,0.055872968192418035,-0.6394130409191691,0.3877551020408163,0.027377754414284836,-0.24247813849604266,-11.88142878630609,-0.06335365272415673,-10.951817333807359,5,1.092559576232581,1.7008577484311362,-0.9859507259587702,LINKUSDT,LINKUSDT,2025-10,2025-05,0.9999999999999998,3.236512271987791
next_close,stop_1atr_tp_1_5r,base,-0.02,12,1.0,1.5,4.0,5.0,LTCUSDT,44,54.495284518385084,-0.13243778420047583,-0.6777946512836128,0.38636363636363635,-0.05827262504820936,-0.26550725544600157,-11.682319239624068,-0.10095508129319661,-15.054379340145104,6,0.7888483679571788,1.2806036931049758,-1.022130566207612,LTCUSDT,LTCUSDT,2025-10,2025-07,,
next_close,stop_1atr_tp_1_5r,base,-0.02,12,1.0,1.5,4.0,5.0,XRPUSDT,35,46.66844126706468,-0.1049394724257826,-0.6128171905041805,0.4,-0.036728815349023905,-0.23515857046965094,-8.230549966437783,-0.06386298590988668,-7.882758158448901,4,0.8481834929388761,1.4657155864056837,-1.1520428449800935,XRPUSDT,XRPUSDT,2025-10,2025-07,,
next_close,stop_1atr_tp_1_5r,base,-0.02,12,1.0,1.5,4.0,5.0,ETHUSDT,38,41.10161021654636,-0.09255853158045911,-0.5316146234205312,0.34210526315789475,-0.035172242000574463,-0.3681227871903218,-13.988665913232229,-0.11882661446259771,-16.852615392717702,10,0.8315921264768139,1.3359945208439659,-0.83540611884116,ETHUSDT,ETHUSDT,2026-02,2025-12,,
