timeframe,param_id,exit_model,friction_case,funding_z_min,reaction_atr_min,body_min,close_loc_long_min,close_loc_short_max,stop_atr_mult,target_r,total_trades_next_open,ev_per_trade_r_next_open,total_ev_r_next_open,max_drawdown_r_next_open,profit_factor_next_open,total_trades_next_close,ev_per_trade_r_next_close,total_ev_r_next_close,max_drawdown_r_next_close,profit_factor_next_close,ev_delta_close_minus_open_r,trade_delta_close_minus_open
1h,fz2_react0.25_body0.5_cl0.6_cs0.4,model_b,stress,2.0,0.25,0.5,0.6,0.4,1.2,2.0,471,-0.3813426053332265,-179.61236711194968,-184.66943142260857,0.4665993835158352,447,-0.34954438771010377,-156.24634130641638,-161.1750855022896,0.473257759162592,0.03179821762312274,-24
1h,fz2_react0.25_body0.5_cl0.7_cs0.3,model_a,base,2.0,0.25,0.5,0.7,0.3,1.0,1.5,471,-0.283541160389938,-133.54788654366078,-143.17063551574034,0.5528290219554959,439,-0.24319601499650342,-106.763050583465,-113.23421541091419,0.5897879793045636,0.04034514539343456,-32
1h,fz2_react0.25_body0.5_cl0.7_cs0.3,model_a,stress,2.0,0.25,0.5,0.7,0.3,1.0,1.5,474,-0.4804497427493019,-227.7331780631691,-233.9374490211021,0.37396380957645414,442,-0.42154906201587156,-186.32468541101522,-190.24907905815817,0.4052233658801959,0.058900680733430355,-32
1h,fz2_react0.25_body0.5_cl0.7_cs0.3,model_b,base,2.0,0.25,0.5,0.7,0.3,1.2,2.0,436,-0.20432582637281307,-89.0860602985465,-95.03254139589454,0.6600197178504075,417,-0.16311838192907877,-68.02036526442585,-74.0329445778647,0.701829339129518,0.04120744444373431,-19
1h,fz2_react0.25_body0.5_cl0.7_cs0.3,model_b,stress,2.0,0.25,0.5,0.7,0.3,1.2,2.0,439,-0.3726930769657261,-163.61226078795377,-168.66932509861266,0.4723792171078338,421,-0.33635127165593776,-141.6038853671498,-146.53262956302302,0.487784334272935,0.036341805309788366,-18
1h,fz2_react0_body0.25_cl0.6_cs0.4,model_a,base,2.0,0.0,0.25,0.6,0.4,1.0,1.5,624,-0.24256005918700488,-151.35747693269104,-163.79005728850177,0.604754684389469,568,-0.2218143316119012,-125.99054035555989,-136.40694585913715,0.6230734778713964,0.02074572757510368,-56
1h,fz2_react0_body0.25_cl0.6_cs0.4,model_a,stress,2.0,0.0,0.25,0.6,0.4,1.0,1.5,633,-0.452375822975025,-286.3538959431908,-295.98792025474046,0.3997028994007751,577,-0.4201343250159945,-242.41750553422884,-248.21759969720196,0.4137533391667165,0.032241497959030474,-56
1h,fz2_react0_body0.25_cl0.6_cs0.4,model_b,base,2.0,0.0,0.25,0.6,0.4,1.2,2.0,550,-0.20512758399164976,-112.82017119540737,-122.47704189738327,0.6601778318893304,516,-0.18619190873171207,-96.07502490556342,-104.51670649507773,0.6662386945759522,0.018935675259937695,-34
1h,fz2_react0_body0.25_cl0.6_cs0.4,model_b,stress,2.0,0.0,0.25,0.6,0.4,1.2,2.0,556,-0.37461806004095244,-208.28764138276955,-215.9895815312015,0.47362918815801963,524,-0.35617461658482447,-186.635499090448,-193.161455001352,0.4703098343171471,0.018443443456127973,-32
1h,fz2_react0_body0.25_cl0.7_cs0.3,model_a,base,2.0,0.0,0.25,0.7,0.3,1.0,1.5,560,-0.25714809341628525,-144.00293231311974,-156.15381711856284,0.5852776799059144,522,-0.21261352942561032,-110.98426236016859,-119.32238335148779,0.6365269677799217,0.04453456399067493,-38
1h,fz2_react0_body0.25_cl0.7_cs0.3,model_a,stress,2.0,0.0,0.25,0.7,0.3,1.0,1.5,568,-0.4730920957723794,-268.71631039871147,-277.11579035932147,0.3831651107209545,529,-0.4056381358318075,-214.58257385502617,-220.38266801799935,0.42734811479930396,0.06745395994057185,-39
1h,fz2_react0_body0.25_cl0.7_cs0.3,model_b,base,2.0,0.0,0.25,0.7,0.3,1.2,2.0,507,-0.22226046667698904,-112.68605660523345,-119.48397588986609,0.6353983463535323,481,-0.16672053764274197,-80.19257860615889,-87.01083135725656,0.6972462778067575,0.055539929034247065,-26
1h,fz2_react0_body0.25_cl0.7_cs0.3,model_b,stress,2.0,0.0,0.25,0.7,0.3,1.2,2.0,511,-0.38968862451233205,-199.13088712580168,-205.0414355634299,0.45686410285073736,487,-0.34256917035015266,-166.83118596052435,-172.5676083550769,0.48723889647645996,0.047119454162179386,-24
1h,fz2_react0_body0.5_cl0.6_cs0.4,model_a,base,2.0,0.0,0.5,0.6,0.4,1.0,1.5,516,-0.28125829070014663,-145.12927800127565,-156.56017571303929,0.5598030165192674,471,-0.23136849360921666,-108.97456048994104,-117.59085359915757,0.6054335765785563,0.04988979709092997,-45
1h,fz2_react0_body0.5_cl0.6_cs0.4,model_a,stress,2.0,0.0,0.5,0.6,0.4,1.0,1.5,521,-0.47807498001074206,-249.07706458559662,-257.76716922743344,0.379706514414779,474,-0.4145240407643823,-196.48439532231723,-201.695017007649,0.410965208003642,0.06355093924635974,-47
1h,fz2_react0_body0.5_cl0.6_cs0.4,model_b,base,2.0,0.0,0.5,0.6,0.4,1.2,2.0,472,-0.21486127136222682,-101.41452008297107,-107.36100118031916,0.6467823750286298,446,-0.17993386855995697,-80.25050537774081,-86.26308469117963,0.6755662139449944,0.03492740280226986,-26
1h,fz2_react0_body0.5_cl0.6_cs0.4,model_b,stress,2.0,0.0,0.5,0.6,0.4,1.2,2.0,476,-0.3830916004574373,-182.35160181774015,-187.40866612839903,0.4631114813938504,451,-0.3501565320750579,-157.92059596585113,-162.8493401617243,0.4709725712372013,0.03293506838237936,-25
1h,fz2_react0_body0.5_cl0.7_cs0.3,model_a,base,2.0,0.0,0.5,0.7,0.3,1.0,1.5,476,-0.2818167937971284,-134.1447938474331,-142.8326873806771,0.5538579633989295,443,-0.23853387550312166,-105.67050684788289,-111.85767764187912,0.5947548636571173,0.04328291829400671,-33
1h,fz2_react0_body0.5_cl0.7_cs0.3,model_a,stress,2.0,0.0,0.5,0.7,0.3,1.0,1.5,479,-0.4778283477231925,-228.8797785594092,-235.08404951734212,0.374930392089667,446,-0.4161025661183939,-185.58174448880368,-189.5061381359466,0.40879012073843507,0.06172578160479858,-33
1h,fz2_react0_body0.5_cl0.7_cs0.3,model_b,base,2.0,0.0,0.5,0.7,0.3,1.2,2.0,440,-0.20607530697303067,-90.67313506813349,-96.61961616548155,0.656294079286655,421,-0.16437764557658965,-69.20298878774425,-75.2155681011831,0.6986812318133656,0.041697661396441016,-19
1h,fz2_react0_body0.5_cl0.7_cs0.3,model_b,stress,2.0,0.0,0.5,0.7,0.3,1.2,2.0,443,-0.3735981118331997,-165.50396354210747,-170.56102785276636,0.46981279479101407,425,-0.33669263269730637,-143.0943688963552,-148.02311309222847,0.4857571837593037,0.036905479135893315,-18
