timeframe,param_id,exit_model,friction_case,entry_mode,funding_z_min,reaction_atr_min,body_min,close_loc_long_min,close_loc_short_max,funding_z_lookback,stop_atr_mult,target_r,max_hold_bars,taker_fee_bps_per_side,slippage_bps_per_side,total_trades,trades_per_year,win_rate,ev_per_trade_r,total_ev_r,max_drawdown_r,max_losing_streak,profit_factor,average_win_r,average_loss_r,best_symbol_ev_share,best_symbol_total_ev_r,best_month_ev_share,best_month_total_ev_r
1h,fz2.5_react0_body0.25_cl0.7_cs0.3,model_b,base,next_close,2.5,0.0,0.25,0.7,0.3,90,1.2,2.0,8,4.0,5.0,256,281.92160804020097,0.4453125,-0.06974317698606895,-17.854253308433652,-33.02634704868198,9,0.8623576310342356,0.9812329260366609,-0.9134845554691056,,6.859265494153613,,9.17729542114435
1h,fz2.5_react0.25_body0.25_cl0.7_cs0.3,model_b,base,next_close,2.5,0.25,0.25,0.7,0.3,90,1.2,2.0,8,4.0,5.0,248,273.1115577889447,0.42338709677419356,-0.08581286854182174,-21.28159139837179,-34.946656103151945,10,0.8362402385821566,1.034995986937779,-0.908784405782088,,8.002457323383881,,4.517344824141247
1h,fz2.5_react0_body0.5_cl0.6_cs0.4,model_b,base,next_close,2.5,0.0,0.5,0.6,0.4,90,1.2,2.0,8,4.0,5.0,235,258.82774217866563,0.425531914893617,-0.08884718827628106,-20.87908924492605,-33.380896496760684,10,0.8324528660174777,1.037371232120656,-0.9230830552369753,,7.553127640820334,,4.976038730432879
1h,fz2.5_react0.25_body0.5_cl0.6_cs0.4,model_b,base,next_close,2.5,0.25,0.5,0.6,0.4,90,1.2,2.0,8,4.0,5.0,233,256.62495288352807,0.4248927038626609,-0.08892835720580335,-20.72030722895218,-33.222114480786814,10,0.8332145590032904,1.0455858765301427,-0.9271142463092262,,7.553127640820334,,4.751917294851397
1h,fz2.5_react0_body0.25_cl0.6_cs0.4,model_b,base,next_close,2.5,0.0,0.25,0.6,0.4,90,1.2,2.0,8,4.0,5.0,276,303.94673366834166,0.4166666666666667,-0.12138009642108781,-33.500906612220234,-42.08702065536295,14,0.7727025656282566,0.9903222587269752,-0.9154532072411329,,7.631906616851008,,9.758009654832843
1h,fz2.5_react0.25_body0.25_cl0.6_cs0.4,model_b,base,next_close,2.5,0.25,0.25,0.6,0.4,90,1.2,2.0,8,4.0,5.0,267,294.0354271356784,0.4044943820224719,-0.12813659872578378,-34.21247185978427,-43.1989170360353,14,0.7645892036876669,1.0288746871279772,-0.9140310570415461,,8.780156205331052,,5.185302331695715
1h,fz1.5_react0_body0.5_cl0.7_cs0.3,model_b,base,next_close,1.5,0.0,0.5,0.7,0.3,90,1.2,2.0,8,4.0,5.0,849,932.0393237319975,0.39693757361601884,-0.15508549220689974,-131.66758288365787,-139.8325732745526,22,0.7198686573197021,1.0040157468503734,-0.918009549945769,,-4.059163670598677,,1.5599104720652093
1h,fz2_react0.25_body0.25_cl0.7_cs0.3,model_b,base,next_close,2.0,0.25,0.25,0.7,0.3,90,1.2,2.0,8,4.0,5.0,462,508.5887228431495,0.3939393939393939,-0.15537217597264252,-71.78194529936084,-78.36771077145436,15,0.7169781839012466,0.9991480920705785,-0.9058103502007362,,11.300219739314757,,3.075585780641715
1h,fz1.5_react0.25_body0.5_cl0.7_cs0.3,model_b,base,next_close,1.5,0.25,0.5,0.7,0.3,90,1.2,2.0,8,4.0,5.0,840,922.1590482154038,0.3952380952380952,-0.15875962679038816,-133.35808650392605,-143.02258029732127,22,0.7151051947067742,1.0082463861747228,-0.9214485958935709,,-3.6239485519919103,,0.25302822827203264
1h,fz1.5_react0_body0.25_cl0.7_cs0.3,model_b,base,next_close,1.5,0.0,0.25,0.7,0.3,90,1.2,2.0,8,4.0,5.0,998,1095.4755822689708,0.39478957915831664,-0.16110156173909634,-160.77935861561815,-168.57479662548633,26,0.7130733589879226,1.014138819272858,-0.9277318765051726,,0.7809063326856069,,3.5934380893241866
1h,fz2_react0.25_body0.5_cl0.7_cs0.3,model_b,base,next_close,2.0,0.25,0.5,0.7,0.3,90,1.2,2.0,8,4.0,5.0,417,459.1085154483798,0.3980815347721823,-0.16311838192907877,-68.02036526442585,-74.0329445778647,17,0.701829339129518,0.9644894537814626,-0.9088669904069666,,5.46618052615184,,3.418654488855881
