timeframe,param_id,exit_model,friction_case,entry_mode,funding_z_min,reaction_atr_min,body_min,close_loc_long_min,close_loc_short_max,funding_z_lookback,stop_atr_mult,target_r,max_hold_bars,taker_fee_bps_per_side,slippage_bps_per_side,month,total_trades,trades_per_year,win_rate,ev_per_trade_r,total_ev_r,max_drawdown_r,max_losing_streak,profit_factor,average_win_r,average_loss_r
15m,fz1.5_react0_body0.25_cl0.7_cs0.3,model_a,base,next_open,1.5,0.0,0.25,0.7,0.3,90,1.0,1.5,8,4.0,5.0,2026-02,458,5992.280597014925,0.38209606986899564,-0.3060999527022044,-140.19377833760961,,,0.577684710505664,1.0958339727732653,-1.1730202246393324
15m,fz1.5_react0_body0.25_cl0.7_cs0.3,model_a,base,next_open,1.5,0.0,0.25,0.7,0.3,90,1.0,1.5,8,4.0,5.0,2026-03,392,4829.616303583977,0.29846938775510207,-0.613017219948775,-240.3027502199198,,,0.32360153593165697,0.982609233885034,-1.2918837475798863
15m,fz1.5_react0_body0.25_cl0.7_cs0.3,model_a,base,next_open,1.5,0.0,0.25,0.7,0.3,90,1.0,1.5,8,4.0,5.0,2026-04,360,4398.271777003484,0.2972222222222222,-0.6892997732449551,-248.1479183681838,,,0.2782463987765723,0.8940616186679673,-1.3589427334610922
15m,fz1.5_react0_body0.25_cl0.7_cs0.3,model_a,base,next_open,1.5,0.0,0.25,0.7,0.3,90,1.0,1.5,8,4.0,5.0,2026-05,28,3397.204152249135,0.21428571428571427,-0.9819544970279183,-27.49472591678171,,,0.15637285618890073,0.8493935686475996,-1.4814130603939686
15m,fz1.5_react0_body0.5_cl0.6_cs0.4,model_a,base,next_open,1.5,0.0,0.5,0.6,0.4,90,1.0,1.5,8,4.0,5.0,2025-06,313,4305.622597096901,0.3961661341853035,-0.43379719340237916,-135.77852153494467,,,0.4719973274562152,0.9788424808548062,-1.3606084082589454
15m,fz1.5_react0_body0.5_cl0.6_cs0.4,model_a,base,next_open,1.5,0.0,0.5,0.6,0.4,90,1.0,1.5,8,4.0,5.0,2025-07,298,3556.5255275697755,0.31208053691275167,-0.651190630710921,-194.05480795185446,,,0.31939995427522366,0.97922915300275,-1.3908444838102938
15m,fz1.5_react0_body0.5_cl0.6_cs0.4,model_a,base,next_open,1.5,0.0,0.5,0.6,0.4,90,1.0,1.5,8,4.0,5.0,2025-08,489,5780.949426837492,0.35787321063394684,-0.43824649881442124,-214.30253792025198,,,0.465876410647175,1.068115524989126,-1.277779473864169
15m,fz1.5_react0_body0.5_cl0.6_cs0.4,model_a,base,next_open,1.5,0.0,0.5,0.6,0.4,90,1.0,1.5,8,4.0,5.0,2025-09,404,4942.727145847872,0.2698019801980198,-0.7675234322247821,-310.079466618812,,,0.2656076500666544,1.02886630776656,-1.4312742175097188
15m,fz1.5_react0_body0.5_cl0.6_cs0.4,model_a,base,next_open,1.5,0.0,0.5,0.6,0.4,90,1.0,1.5,8,4.0,5.0,2025-10,454,5581.716690042076,0.3634361233480176,-0.37147842797706726,-168.65120630158853,,,0.5116132736538899,1.0707386002888226,-1.19488953408043
15m,fz1.5_react0_body0.5_cl0.6_cs0.4,model_a,base,next_open,1.5,0.0,0.5,0.6,0.4,90,1.0,1.5,8,4.0,5.0,2025-11,273,3616.3475632791838,0.36996336996337,-0.3418094104885985,-93.31396906338739,,,0.5502158115487832,1.1301970535595645,-1.2061852992610662
15m,fz1.5_react0_body0.5_cl0.6_cs0.4,model_a,base,next_open,1.5,0.0,0.5,0.6,0.4,90,1.0,1.5,8,4.0,5.0,2025-12,339,4026.6585365853657,0.336283185840708,-0.5473725977156948,-185.55931062562055,,,0.39141993969479666,1.0468950005809012,-1.3551348475193037
15m,fz1.5_react0_body0.5_cl0.6_cs0.4,model_a,base,next_open,1.5,0.0,0.5,0.6,0.4,90,1.0,1.5,8,4.0,5.0,2026-01,410,4825.861027190332,0.2780487804878049,-0.6843378147074014,-280.5785040300346,,,0.2854367990177837,0.983147908234153,-1.3265451539484054
15m,fz1.5_react0_body0.5_cl0.6_cs0.4,model_a,base,next_open,1.5,0.0,0.5,0.6,0.4,90,1.0,1.5,8,4.0,5.0,2026-02,404,5273.959791511541,0.40594059405940597,-0.24858584023037658,-100.42867945307214,,,0.641333115445888,1.0949802579489278,-1.166689340652901
15m,fz1.5_react0_body0.5_cl0.6_cs0.4,model_a,base,next_open,1.5,0.0,0.5,0.6,0.4,90,1.0,1.5,8,4.0,5.0,2026-03,374,4593.322591943958,0.27807486631016043,-0.6628478299957763,-247.90508841842035,,,0.2987912671338007,1.015716916672847,-1.3094061027866535
15m,fz1.5_react0_body0.5_cl0.6_cs0.4,model_a,base,next_open,1.5,0.0,0.5,0.6,0.4,90,1.0,1.5,8,4.0,5.0,2026-04,333,4064.1531500174033,0.2972972972972973,-0.6844541883932662,-227.92324473495765,,,0.27719716302367864,0.8829220378888395,-1.3475748995126187
15m,fz1.5_react0_body0.5_cl0.6_cs0.4,model_a,base,next_open,1.5,0.0,0.5,0.6,0.4,90,1.0,1.5,8,4.0,5.0,2026-05,25,3033.2179930795846,0.16,-1.1735654265622868,-29.339135664057167,,,0.08255237644308988,0.6599873686696326,-1.5228135780350331
15m,fz1.5_react0_body0.5_cl0.7_cs0.3,model_a,base,next_open,1.5,0.0,0.5,0.7,0.3,90,1.0,1.5,8,4.0,5.0,2025-06,300,4126.794821498626,0.4,-0.4141890144240513,-124.25670432721539,,,0.4858833785457344,0.978608497015829,-1.3427206887173047
