scenario_id,scenario_entry_mode,scenario_friction_mode,concurrent_cap,symbol_cap,selection_policy,account_allocation,trades_taken,trades_skipped,skip_rate,cumulative_return_units,average_trade_return_pct,median_trade_return_pct,win_rate,account_total_return_pct,cagr_pct,max_drawdown_pct,max_drawdown_units,sharpe_like,max_losing_streak,average_concurrent_positions,max_concurrent_positions,p95_concurrent_positions,average_exposure_pct,max_exposure_pct,p95_exposure_pct,worst_month,worst_month_return_pct,best_month,best_month_contribution,best_symbol,best_symbol_contribution,positive_symbol_rate,liquidation_margin_risk_proxy
next_close_clusterstress_ccapunlimited_scap2_liquidity_priority_alloc0.0025,next_close,cluster_stress,unlimited,2,liquidity_priority,0.0025,781,185,0.1915113871635611,9.476761175036373,1.2134137227959503,0.7972743260750301,0.5736235595390525,2.3960798692581164,0.397094604239423,-0.5971306309026647,-2.395151435705722,4.590461762880689,20,5.007042253521127,18,13.0,1.2517605633802817,4.5,3.25,2025-02,-0.25165456783577955,2022-05,0.23010751116939196,XRPUSDT,0.17955357474143707,0.8888888888888888,low
next_close_clusterstress_ccapunlimited_scapunlimited_symbol_order_alloc0.0025,next_close,cluster_stress,unlimited,unlimited,symbol_order,0.0025,966,0,0.0,23.758449810783848,2.4594668541184106,1.3997918108121,0.6149068322981367,6.1169969796967205,0.9986775438765916,-0.49933496638590036,-2.001854005337197,8.897339573316724,17,8.796066252587991,41,27.0,2.199016563146998,10.25,6.75,2025-02,-0.24243643094447043,2021-05,0.2991808978349828,ADAUSDT,0.17411005538333524,1.0,low
next_close_clusterstress_ccapunlimited_scapunlimited_largest_drop_alloc0.0025,next_close,cluster_stress,unlimited,unlimited,largest_drop,0.0025,966,0,0.0,23.758449810783848,2.4594668541184106,1.3997918108121,0.6149068322981367,6.1169969796967205,0.9986775438765916,-0.49933496638590036,-2.001854005337197,8.897339573316724,17,8.796066252587991,41,27.0,2.199016563146998,10.25,6.75,2025-02,-0.24243643094447043,2021-05,0.2991808978349828,ADAUSDT,0.17411005538333524,1.0,low
next_close_clusterstress_ccapunlimited_scapunlimited_liquidity_priority_alloc0.0025,next_close,cluster_stress,unlimited,unlimited,liquidity_priority,0.0025,966,0,0.0,23.758449810783848,2.4594668541184106,1.3997918108121,0.6149068322981367,6.1169969796967205,0.9986775438765916,-0.49933496638590036,-2.001854005337197,8.897339573316724,17,8.796066252587991,41,27.0,2.199016563146998,10.25,6.75,2025-02,-0.24243643094447043,2021-05,0.2991808978349828,ADAUSDT,0.17411005538333524,1.0,low
next_open_clusterstress_ccap3_scap1_symbol_order_alloc0.0025,next_open,cluster_stress,3,1,symbol_order,0.0025,358,608,0.629399585921325,1.7369676214131657,0.48518648642825857,0.836535279913525,0.5865921787709497,0.43465049408710765,0.07261717318767236,-0.32008769333990994,-1.281853031062176,1.3311146842472137,6,1.3603351955307263,3,3.0,0.3400837988826816,0.75,0.75,2021-05,-0.22759602019215563,2021-02,0.5634961849893376,BNBUSDT,0.4073798530425635,0.6666666666666666,low
next_open_clusterstress_ccap3_scap1_largest_drop_alloc0.0025,next_open,cluster_stress,3,1,largest_drop,0.0025,358,608,0.629399585921325,2.4899867815132564,0.6955270339422504,1.0588455838017903,0.5921787709497207,0.623847619549811,0.1041446731070872,-0.25983170152211743,-1.0400446647568005,1.8227793480194696,8,1.3603351955307263,3,3.0,0.3400837988826816,0.75,0.75,2021-05,-0.17036628570497037,2021-02,0.4271894099991931,ADAUSDT,0.2758115259112464,0.7777777777777778,low
next_open_clusterstress_ccap3_scap1_liquidity_priority_alloc0.0025,next_open,cluster_stress,3,1,liquidity_priority,0.0025,358,608,0.629399585921325,1.7369676214131657,0.48518648642825857,0.836535279913525,0.5865921787709497,0.43465049408710765,0.07261717318767236,-0.32008769333990994,-1.281853031062176,1.3311146842472137,6,1.3603351955307263,3,3.0,0.3400837988826816,0.75,0.75,2021-05,-0.22759602019215563,2021-02,0.5634961849893376,BNBUSDT,0.4073798530425635,0.6666666666666666,low
next_open_clusterstress_ccap3_scap2_symbol_order_alloc0.0025,next_open,cluster_stress,3,2,symbol_order,0.0025,361,605,0.6262939958592133,2.309312291915429,0.6396986958214484,0.9237259675194599,0.5872576177285319,0.5783964363313743,0.0965752694639832,-0.3221583294708785,-1.290150008690089,1.6736568571631731,6,1.3670360110803323,3,3.0,0.3417590027700831,0.75,0.75,2021-05,-0.2296685776390417,2021-02,0.382431220132161,SOLUSDT,0.4783998232393432,0.7777777777777778,low
next_open_clusterstress_ccap3_scap2_largest_drop_alloc0.0025,next_open,cluster_stress,3,2,largest_drop,0.0025,361,605,0.6262939958592133,3.0406695567815207,0.8422907359505597,1.08906012101765,0.592797783933518,0.7624218277055173,0.127205152945975,-0.26064151115182677,-1.0432916089491417,2.1397526258246504,8,1.3670360110803323,3,3.0,0.3417590027700831,0.75,0.75,2021-05,-0.17117682172160809,2021-02,0.3184181515070579,BNBUSDT,0.23460909785507572,0.8888888888888888,low
next_open_clusterstress_ccap3_scap2_liquidity_priority_alloc0.0025,next_open,cluster_stress,3,2,liquidity_priority,0.0025,361,605,0.6262939958592133,2.309312291915429,0.6396986958214484,0.9237259675194599,0.5872576177285319,0.5783964363313743,0.0965752694639832,-0.3221583294708785,-1.290150008690089,1.6736568571631731,6,1.3670360110803323,3,3.0,0.3417590027700831,0.75,0.75,2021-05,-0.2296685776390417,2021-02,0.382431220132161,SOLUSDT,0.4783998232393432,0.7777777777777778,low
