entry_mode,filter_name,event_threshold,min_simultaneous_drops,exit_model,friction_case,horizon_bars,taker_fee_bps_per_side,slippage_bps_per_side,total_trades,trades_per_year,average_return_pct,median_return_pct,cumulative_return_units,win_rate,return_volatility_pct,sharpe_like,annualized_trade_sharpe_like,max_drawdown_units,max_losing_streak,average_win_pct,average_loss_pct,best_month,worst_month,best_symbol,worst_symbol,best_month_contribution,best_symbol_contribution,positive_month_rate,positive_symbol_rate,average_concurrent_positions,max_concurrent_positions
next_close,drop4_breadth5,-0.04,5,scaled_exit_6_12,stress,12,8.0,10.0,36,52.18504278804415,5.136882475588133,2.691759900848544,1.849277691211728,0.8333333333333334,9.391055486498255,3.281984106881416,3.9514659613558214,-0.22630107672157157,3,7.269715302587433,-5.5272816594083665,2025-10,2025-05,ADAUSDT,BTCUSDT,0.6577283445177741,0.2873493051904313,1.0,1.0,7.777777777777778,22
next_close,drop3_breadth5,-0.03,5,pure_horizon_6,stress,6,8.0,10.0,70,101.47091653230807,2.6396021518586945,0.6649884799928719,1.847721506301086,0.6714285714285714,7.276487360095568,3.0350490519982056,3.6541593833042554,-0.2922707369187814,8,5.339586365157196,-2.8777568927078083,2025-10,2026-01,ADAUSDT,LTCUSDT,0.5970703209300107,0.2469998257198941,0.6666666666666666,1.0,5.671428571428572,23
next_open,drop3_breadth4,-0.03,4,scaled_exit_6_12,base,12,4.0,5.0,71,102.92050105419818,2.5317859030956744,0.9022232183196779,1.797567991197929,0.6901408450704225,8.106086338543248,2.6317517877479863,3.1685947492003623,-0.7433886048147277,9,5.4431209018809135,-3.9525511396532687,2025-10,2025-06,ADAUSDT,AVAXUSDT,0.5006372645763562,0.2353293917392207,0.8571428571428571,1.0,6.401408450704225,26
next_open,drop3_breadth5,-0.03,5,scaled_exit_6_12,base,12,4.0,5.0,70,101.47091653230807,2.553917658139676,0.8710699660527423,1.787742360697773,0.6857142857142857,8.16245391711698,2.6177921949967953,3.1517875820129704,-0.7532142353148841,9,5.5360491904614415,-3.9525511396532687,2025-10,2025-06,ADAUSDT,AVAXUSDT,0.5033888225661866,0.2366227882038844,0.8333333333333334,1.0,6.485714285714286,26
next_open,drop4_breadth4,-0.04,4,wide_stop_2atr_horizon_12,base,12,4.0,5.0,36,52.18504278804415,4.938259127519837,2.004550425781817,1.7777732859071413,0.6111111111111112,9.992307166319174,2.965236583698171,3.5701060840858303,-0.29921140621473846,11,9.815957318587895,-2.726695172729968,2025-10,2025-11,ADAUSDT,SOLUSDT,0.7133665911221608,0.2969881584142077,0.8,0.875,3.5833333333333335,11
next_open,drop4_breadth5,-0.04,5,wide_stop_2atr_horizon_12,base,12,4.0,5.0,36,52.18504278804415,4.938259127519837,2.004550425781817,1.7777732859071413,0.6111111111111112,9.992307166319174,2.965236583698171,3.5701060840858303,-0.29921140621473846,11,9.815957318587895,-2.726695172729968,2025-10,2025-11,ADAUSDT,SOLUSDT,0.7133665911221608,0.2969881584142077,0.8,0.875,3.5833333333333335,11
next_open,drop3_breadth4,-0.03,4,pure_horizon_12,stress,12,8.0,10.0,71,102.92050105419818,2.4894329870917162,0.9715159241277239,1.7674974208351184,0.6338028169014085,8.115008805734066,2.584881384811158,3.112163396771939,-0.6465589443559083,9,5.756106807256199,-3.164425547808348,2025-10,2025-06,ADAUSDT,AVAXUSDT,0.6168176949136959,0.2634325201243208,0.7142857142857143,1.0,6.401408450704225,26
next_open,drop3_breadth5,-0.03,5,pure_horizon_12,stress,12,8.0,10.0,70,101.47091653230807,2.5141902173430397,0.9956780363852104,1.7599331521401278,0.6285714285714286,8.170900593902239,2.5744071045531416,3.099552500265015,-0.6541232130508989,9,5.8697358967506785,-3.164425547808348,2025-10,2025-06,ADAUSDT,AVAXUSDT,0.6194688040052418,0.26456476447280397,0.6666666666666666,1.0,6.485714285714286,26
next_close,drop4_breadth4,-0.04,4,pure_horizon_6,base,6,4.0,5.0,36,52.18504278804415,4.867009500304669,2.6162350945896273,1.752123420109681,0.8333333333333334,9.463824415779017,3.0856507600816725,3.7150831783522085,-0.3099686712045128,3,7.285488081199164,-7.225383404167811,2025-10,2026-01,ADAUSDT,AVAXUSDT,0.575621118451942,0.2697175016362623,1.0,1.0,6.833333333333333,20
next_close,drop4_breadth5,-0.04,5,pure_horizon_6,base,6,4.0,5.0,36,52.18504278804415,4.867009500304669,2.6162350945896273,1.752123420109681,0.8333333333333334,9.463824415779017,3.0856507600816725,3.7150831783522085,-0.3099686712045128,3,7.285488081199164,-7.225383404167811,2025-10,2026-01,ADAUSDT,AVAXUSDT,0.575621118451942,0.2697175016362623,1.0,1.0,6.833333333333333,20
next_open,drop4_breadth4,-0.04,4,wide_stop_2atr_horizon_12,stress,12,8.0,10.0,36,52.18504278804415,4.772698893229343,1.8225168411315544,1.7181716015625634,0.6111111111111112,9.967027563936673,2.8730926222166113,3.4591659590025183,-0.3132266370507217,11,9.626116226894608,-2.854099773958927,2025-10,2025-11,ADAUSDT,SOLUSDT,0.717517912650242,0.30022949938031707,0.8,0.875,3.5833333333333335,11
next_open,drop4_breadth5,-0.04,5,wide_stop_2atr_horizon_12,stress,12,8.0,10.0,36,52.18504278804415,4.772698893229343,1.8225168411315544,1.7181716015625634,0.6111111111111112,9.967027563936673,2.8730926222166113,3.4591659590025183,-0.3132266370507217,11,9.626116226894608,-2.854099773958927,2025-10,2025-11,ADAUSDT,SOLUSDT,0.717517912650242,0.30022949938031707,0.8,0.875,3.5833333333333335,11
next_open,drop3_breadth4,-0.03,4,wide_stop_2atr_horizon_12,base,12,4.0,5.0,71,102.92050105419818,2.411957005385681,0.007289428304204716,1.7124894738238334,0.5070422535211268,7.734428691835793,2.6276680261199523,3.1636779535846764,-0.3672861724854183,14,6.872829048350637,-2.176368524521132,2025-10,2026-01,ADAUSDT,SOLUSDT,0.772059102053394,0.2683395104528051,0.5714285714285714,0.8888888888888888,3.4295774647887325,13
next_open,drop3_breadth5,-0.03,5,wide_stop_2atr_horizon_12,base,12,4.0,5.0,70,101.47091653230807,2.433022193600727,0.002605266941970786,1.7031155355205088,0.5,7.78822197409676,2.6137062089734022,3.1468681082543495,-0.37666011078874306,14,7.042412911722584,-2.176368524521132,2025-10,2026-01,ADAUSDT,SOLUSDT,0.7763085109973134,0.2698164496051217,0.5,0.8888888888888888,3.4714285714285715,13
next_open,drop3_breadth4,-0.03,4,pure_horizon_6,base,6,4.0,5.0,71,102.92050105419818,2.391437984344748,1.0809593688550525,1.6979209688847712,0.6901408450704225,8.26245133802519,2.4388179494159696,2.9363049299522412,-0.8684050073936224,9,5.541999881086801,-4.6257226038534665,2026-02,2025-06,ADAUSDT,AVAXUSDT,0.5242322583568003,0.21210404026171134,0.8571428571428571,0.8888888888888888,5.598591549295775,23
