timeframe,param_id,friction_case,entry_mode,n,atr_period,atr_mult,vol_z_min,close_loc_long_min,close_loc_short_max,taker_fee_bps_per_side,slippage_bps_per_side,max_hold_bars,use_room_filter,room_lookback,min_room_r,use_trend_filter,ema_period,ema_slope_lookback,use_overextension_filter,max_ema_distance_atr,total_trades,trades_per_year,win_rate,ev_per_trade_r,total_ev_r,max_drawdown_r,max_losing_streak,profit_factor,average_win_r,average_loss_r
1h,n20_atr14_m1.5_vz2_cl0.7_cs0.3,base,next_close,20,14,1.5,2.0,0.7,0.3,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,66,72.09420560747664,0.30303030303030304,-0.4117390833620203,-27.17477950189334,-27.141060893167086,7,0.45161706959701675,1.1189803333750326,-1.0772692645520432
1h,n100_atr14_m1.5_vz1.5_cl0.8_cs0.2,base,next_close,100,14,1.5,1.5,0.8,0.2,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,14,17.302128859438884,0.2857142857142857,-0.413134392944826,-5.783881501227564,-4.739744030976817,4,0.35814304059372043,0.8068218615248477,-0.9011168947326956
1h,n20_atr14_m2_vz1.5_cl0.75_cs0.25,base,next_close,20,14,2.0,1.5,0.75,0.25,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,47,51.668171557562076,0.2765957446808511,-0.4192864716430606,-19.70646416722385,-20.348841680773187,10,0.4374053618123977,1.1785658945209765,-1.030230023411663
1h,n20_atr14_m1.2_vz2_cl0.75_cs0.25,base,next_close,20,14,1.2,2.0,0.75,0.25,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,64,69.90953271028037,0.296875,-0.4213579944776088,-26.966911646566963,-26.675897561277115,8,0.44325403363861493,1.129986430959572,-1.0763700852177518
1h,n100_atr14_m1.2_vz2_cl0.8_cs0.2,base,next_close,100,14,1.2,2.0,0.8,0.2,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,10,20.831749049429657,0.3,-0.423038104734073,-4.23038104734073,-4.307045788895554,6,0.3425685721942948,0.7347765530783281,-0.9192443866536735
1h,n20_atr14_m2_vz1_cl0.75_cs0.25,base,next_close,20,14,2.0,1.0,0.75,0.25,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,51,56.06546275395034,0.27450980392156865,-0.4246755555135654,-21.658453331191836,-22.300830844741178,10,0.4250192843463969,1.1435489529429586,-1.0180578019565745
1h,n50_atr14_m1.2_vz1.5_cl0.8_cs0.2,base,next_close,50,14,1.2,1.5,0.8,0.2,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,37,39.314181818181815,0.2702702702702703,-0.42562929716627873,-15.748283995152313,-14.704146524901567,6,0.3398498524011263,0.8107325296813528,-0.8835410848876237
1h,n20_atr14_m1.5_vz1_cl0.7_cs0.3,base,next_close,20,14,1.5,1.0,0.7,0.3,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,100,104.90665390138822,0.26,-0.42703489383615933,-42.70348938361593,-43.69815100818645,8,0.4033002075049637,1.110101205265988,-0.9671097394666436
1h,n20_atr14_m1.5_vz1.5_cl0.7_cs0.3,base,next_close,20,14,1.5,1.5,0.7,0.3,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,86,91.37890909090909,0.2558139534883721,-0.44675455502052963,-38.42089173176555,-37.3767542615148,8,0.3862657420793925,1.0991338577653296,-0.9781536969156689
1h,n20_atr14_m1.5_vz1_cl0.75_cs0.25,base,next_close,20,14,1.5,1.0,0.75,0.25,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,91,95.46505505026327,0.25274725274725274,-0.45812469672604106,-41.689347402069735,-40.645209931819,8,0.36669450479700594,1.0495144105845493,-0.9680614536105054
1h,n20_atr14_m1.2_vz1_cl0.8_cs0.2,base,next_close,20,14,1.2,1.0,0.8,0.2,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,89,94.30363834159314,0.25842696629213485,-0.471408920060988,-41.95539388542793,-43.84597302048848,10,0.35806316637683117,1.0174833677484407,-0.990265323388516
1h,n100_atr14_m1.2_vz1_cl0.75_cs0.25,base,next_close,100,14,1.2,1.0,0.75,0.25,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,26,27.68995261815089,0.2692307692307692,-0.4736012045438022,-12.313631318138858,-11.26949384788811,7,0.315717416327962,0.8116170462200107,-0.9471026653515228
1h,n100_atr14_m1.2_vz1_cl0.7_cs0.3,base,next_close,100,14,1.2,1.0,0.7,0.3,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,31,33.014943506256834,0.25806451612903225,-0.47406471636664554,-14.696006207366011,-13.651868737115262,8,0.28200282766859147,0.7215062025340891,-0.8899154707669011
1h,n100_atr14_m1.5_vz1_cl0.75_cs0.25,base,next_close,100,14,1.5,1.0,0.75,0.25,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,22,23.429959907666138,0.2727272727272727,-0.47524973651888514,-10.455494203415473,-9.411356733164727,7,0.31466433971991,0.8000875509232214,-0.9535012193096751
1h,n20_atr14_m1.5_vz2_cl0.75_cs0.25,base,next_close,20,14,1.5,2.0,0.75,0.25,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,60,65.54018691588784,0.2833333333333333,-0.47632158360427657,-28.579295016256594,-27.450523832709177,7,0.38187018283452784,1.0385768690605643,-1.0752349253554927
1h,n20_atr14_m2_vz2_cl0.8_cs0.2,base,next_close,20,14,2.0,2.0,0.8,0.2,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,31,34.07900677200903,0.2903225806451613,-0.48275217219623046,-14.965317338083144,-16.94655674457381,12,0.37694178269594086,1.0059793663933794,-1.0917787107101617
1h,n100_atr14_m2_vz1_cl0.8_cs0.2,base,next_close,100,14,2.0,1.0,0.8,0.2,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,12,13.768586387434555,0.25,-0.48438340819248976,-5.812600898309877,-4.686791813348666,5,0.2749593056111051,0.7347765530783281,-0.890770061949429
1h,n100_atr14_m1.5_vz1_cl0.7_cs0.3,base,next_close,100,14,1.5,1.0,0.7,0.3,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,24,25.559956262908514,0.25,-0.49116623364102613,-11.787989607384628,-10.743852137133882,7,0.2893884914194027,0.8000875509232214,-0.9215841618291088
1h,n100_atr14_m1.2_vz1.5_cl0.8_cs0.2,base,next_close,100,14,1.2,1.5,0.8,0.2,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,16,19.773861553644437,0.25,-0.49342094273777115,-7.894735083804338,-6.850597613553591,4,0.2901709142759061,0.8068218615248477,-0.9268352108253107
1h,n20_atr14_m1.5_vz1.5_cl0.75_cs0.25,base,next_close,20,14,1.5,1.5,0.75,0.25,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,78,82.87854545454545,0.24358974358974358,-0.49385015568700996,-38.52031214358678,-37.476174673336025,8,0.3355984540124719,1.024060261966642,-0.9826687647619149
