event_definition,dislocation_definition,entry_mode,exit_model,friction_case,symbol,total_trades,trades_year,avg_return_pct,median_return_pct,win_rate,cumulative_return_units,max_drawdown_units,sharpe_like,profit_factor,best_month_contribution,best_symbol_contribution,positive_month_rate,positive_symbol_rate
breadth_down_1pct_ge_6,rel_btc_le_2%,next_close,fixed_horizon_6,base,ADAUSDT,16,2.524406047516199,3.4003772795733105,1.2435085746013843,0.6875,0.5440603647317297,-0.1014538691920562,1.4718194522458956,5.355290332379669,0.7161776970487719,1.0,0.8571428571428571,1.0
breadth_down_1pct_ge_6,symbol_zscore_le_-1,next_close,fixed_horizon_6,base,ADAUSDT,193,30.450647948164146,0.09541085836623653,-0.036036387568492076,0.47668393782383417,0.1841429566468365,-0.3550699683531725,0.40372942661189526,1.1414939901955727,0.4192465987870007,1.0,0.6666666666666666,1.0
breadth_down_1pct_ge_6,symbol_zscore_le_-2,next_close,fixed_horizon_6,base,ADAUSDT,165,26.0329373650108,0.05075723178190428,-0.04458410361213076,0.4666666666666667,0.08374943244014205,-0.33148000684993084,0.19284735578094678,1.074945693588689,1.206570215407808,1.0,0.5833333333333334,1.0
breadth_down_1pct_ge_6,rel_btc_le_-1_atr_equiv,next_close,fixed_horizon_6,base,ADAUSDT,75,11.833153347732182,0.35547628363666456,-0.08494929820782364,0.49333333333333335,0.26660721272749843,-0.17229413952359776,0.6962915044830815,1.5087267507269113,0.69328916294118,1.0,0.5833333333333334,1.0
breadth_down_1pct_ge_6,bottom_1_performer,next_close,fixed_horizon_6,base,ADAUSDT,27,4.259935205183585,1.1142204615895308,-0.045095745863563616,0.4444444444444444,0.3008395246291733,-0.0764095508769176,0.8639277758864936,2.861772343439063,1.2415274938378027,1.0,0.5,1.0
breadth_down_1pct_ge_6,bottom_2_performer,next_close,fixed_horizon_6,base,ADAUSDT,69,10.886501079913607,0.4496468232876751,-0.004466875721473794,0.4927536231884058,0.3102563080684958,-0.1654297132990626,0.8279120922563868,1.705186611007174,0.8036704511251208,1.0,0.75,1.0
breadth_down_1pct_ge_6,bottom_3_performer,next_close,fixed_horizon_6,base,ADAUSDT,110,17.355291576673867,0.49600161623023203,0.030518883767163347,0.5,0.5456017778532553,-0.18382418788177704,1.3363325015640641,1.8598915643051046,0.6166464373790814,1.0,0.8333333333333334,1.0
breadth_down_2pct_ge_4,rel_btc_le_1%,next_close,fixed_horizon_6,base,ADAUSDT,32,5.048812095032398,1.5294385279419362,0.25220400490316935,0.5625,0.4894203289414196,-0.10508460584621476,1.2811323883319388,3.1406464307729927,0.8486309427758169,1.0,0.6,1.0
breadth_down_2pct_ge_4,rel_btc_le_2%,next_close,fixed_horizon_6,base,ADAUSDT,16,2.524406047516199,3.4003772795733105,1.2435085746013843,0.6875,0.5440603647317297,-0.1014538691920562,1.4718194522458956,5.355290332379669,0.7161776970487719,1.0,0.8571428571428571,1.0
breadth_down_2pct_ge_4,symbol_zscore_le_-1,next_close,fixed_horizon_6,base,ADAUSDT,40,6.311015118790497,1.2569028487881513,0.036279432153965084,0.525,0.5027611395152605,-0.12254479661050394,1.295285639572471,2.8190696326130107,0.7204560370570507,1.0,0.6666666666666666,1.0
breadth_down_2pct_ge_4,symbol_zscore_le_-2,next_close,fixed_horizon_6,base,ADAUSDT,38,5.995464362850972,1.0864833826261535,0.036279432153965084,0.5263157894736842,0.4128636853979384,-0.12254479661050394,1.1005827884421315,2.5914226034680214,0.6185255851450973,1.0,0.6666666666666666,1.0
breadth_down_2pct_ge_4,rel_btc_le_-1_atr_equiv,next_close,fixed_horizon_6,base,ADAUSDT,31,4.891036717062635,1.0924440714534887,0.05677995125660481,0.5483870967741935,0.33865766215058146,-0.12254479661050394,0.9121283665542766,2.4126094107738387,0.7593693620061936,1.0,0.6363636363636364,1.0
breadth_down_2pct_ge_4,bottom_1_performer,next_close,fixed_horizon_6,base,ADAUSDT,8,1.2622030237580995,4.639607967769804,0.8194350933414942,0.625,0.3711686374215843,-0.02116094965353954,1.1028206709569974,12.50685123431427,1.0427504191220291,1.0,0.75,1.0
breadth_down_2pct_ge_4,bottom_2_performer,next_close,fixed_horizon_6,base,ADAUSDT,16,2.524406047516199,1.9911487738390818,0.6381269887921448,0.5625,0.3185838038142531,-0.1014538691920562,0.883132794220969,3.1149917005176704,0.8964121202180103,1.0,0.6666666666666666,1.0
