event_definition,dislocation_definition,exit_model,friction_case,total_trades_next_open,avg_return_pct_next_open,median_return_pct_next_open,cumulative_return_units_next_open,total_trades_next_close,avg_return_pct_next_close,median_return_pct_next_close,cumulative_return_units_next_close,avg_return_delta_close_minus_open_pct,cum_return_delta_close_minus_open
basket_return_le_1%,rel_btc_le_-1_atr_equiv,fixed_horizon_6,base,655,-0.12027632032621796,0.002912904107668158,-0.7878098981367276,655,0.005569047259517886,-0.036895060822814615,0.036477259549842156,0.12584536758573583,0.8242871576865698
basket_return_le_1%,rel_btc_le_-1_atr_equiv,fixed_horizon_6,stress,655,-0.3001861390514384,-0.17712004233969111,-1.9662192107869214,655,-0.17446655400491046,-0.2168882191793851,-1.1427559287321634,0.12571958504652797,0.823463282054758
basket_return_le_1%,rel_btc_le_-1_atr_equiv,scaled_exit_6_12,base,655,-0.03961196281751951,0.08596409296249505,-0.2594583564547528,655,0.08772733745558862,-0.007112568283316122,0.5746140603341054,0.12733930027310814,0.8340724167888582
basket_return_le_1%,rel_btc_le_-1_atr_equiv,scaled_exit_6_12,stress,655,-0.21960240562851766,-0.09415186321035204,-1.4383957568667907,655,-0.09239038108145767,-0.18713549426351378,-0.6051569960835477,0.12721202454706,0.833238760783243
basket_return_le_1%,rel_btc_le_1%,fixed_horizon_12,base,419,0.4948870766881123,0.4986163522012888,2.0735768513231907,419,0.5829750334694321,0.3260651705298568,2.442665390236921,0.08808795678131981,0.36908853891373017
basket_return_le_1%,rel_btc_le_1%,fixed_horizon_12,stress,419,0.3143624016865882,0.3180879497860768,1.3171784630668044,419,0.40236231448909426,0.1457092331500533,1.685898097709305,0.08799991280250608,0.36871963464250057
basket_return_le_1%,rel_btc_le_1%,fixed_horizon_6,base,419,0.377564354162446,0.39426152806850917,1.5819946439406487,419,0.45990907550842763,0.1974846273602138,1.9270190263803118,0.08234472134598164,0.34502438243966305
basket_return_le_1%,rel_btc_le_1%,fixed_horizon_6,stress,419,0.1971569433100046,0.2138374283782431,0.8260875924689194,419,0.27941936104529336,0.01725720632966179,1.1707671227797791,0.08226241773528875,0.34467953031085974
basket_return_le_1%,rel_btc_le_1%,scaled_exit_6_12,base,419,0.43622571542527905,0.3490685735807875,1.8277857476319195,419,0.52144205448893,0.1689343062710536,2.1848422083086168,0.08521633906365095,0.3570564606766973
basket_return_le_1%,rel_btc_le_1%,scaled_exit_6_12,stress,419,0.2557596724982964,0.16868964428239835,1.0716330277678618,419,0.3408908377671938,-0.011264578692161551,1.428332610244542,0.08513116526889741,0.3566995824766801
basket_return_le_1%,rel_btc_le_2%,fixed_horizon_12,base,84,2.2509051550737005,1.2276049662047008,1.8907603302619085,84,2.9239142394844264,1.0011755595905527,2.456087961166918,0.6730090844107259,0.5653276309050097
basket_return_le_1%,rel_btc_le_2%,fixed_horizon_12,stress,84,2.0686253386869122,1.0463479391235198,1.7376452844970063,84,2.7409617500134353,0.8201448488709785,2.3024078700112858,0.6723364113265231,0.5647625855142795
basket_return_le_1%,rel_btc_le_2%,fixed_horizon_6,base,84,1.9224907190103075,1.0178365027906724,1.6148922039686584,84,2.5674574811716675,0.9460885903306429,2.1566642841842008,0.64496676216136,0.5417720802155424
basket_return_le_1%,rel_btc_le_2%,fixed_horizon_6,stress,84,1.74053915309847,0.836789139445875,1.4620528886027147,84,2.384861270497726,0.7651129390781098,2.0032834672180897,0.6443221173992559,0.541230578615375
basket_return_le_1%,rel_btc_le_2%,scaled_exit_6_12,base,84,2.086697937042004,0.949538494084259,1.7528262671152832,84,2.745685860328048,0.9894622689918333,2.30637612267556,0.6589879232860438,0.5535498555602769
basket_return_le_1%,rel_btc_le_2%,scaled_exit_6_12,stress,84,1.904582245892691,0.7685593946503301,1.5998490865498605,84,2.5629115102555806,0.8084432657149799,2.1528456686146877,0.6583292643628895,0.5529965820648273
basket_return_le_1%,rel_btc_le_3%,fixed_horizon_12,base,27,4.69520195029902,3.023683359427145,1.2677045265807354,27,6.921122810959246,3.7518328536617322,1.8687031589589964,2.225920860660226,0.600998632378261
basket_return_le_1%,rel_btc_le_3%,fixed_horizon_12,stress,27,4.510479057433708,2.840631150645994,1.217829345507101,27,6.734175108525656,3.568052858915442,1.818227279301927,2.223696051091948,0.600397933794826
basket_return_le_1%,rel_btc_le_3%,fixed_horizon_6,base,27,3.831337357656386,2.679701542896331,1.0344610865672241,27,6.000310868211083,2.7969599616323304,1.6200839344169924,2.1689735105546974,0.5856228478497683
basket_return_le_1%,rel_btc_le_3%,fixed_horizon_6,stress,27,3.6474778980987783,2.4969931441986053,0.9848190324866701,27,5.814283518004298,2.6141343630571794,1.5698565498611603,2.1668056199055195,0.5850375173744902
basket_return_le_1%,rel_btc_le_3%,scaled_exit_6_12,base,27,4.2632696539777015,2.87312739914263,1.1510828065739795,27,6.460716839585164,4.68017047778724,1.7443935466879943,2.197447185607462,0.5933107401140147
basket_return_le_1%,rel_btc_le_3%,scaled_exit_6_12,stress,27,4.078978477766243,2.6902256711566035,1.1013241889968857,27,6.274229313264977,4.49546260888997,1.6940419145815437,2.195250835498734,0.5927177255846581
basket_return_le_1%,symbol_zscore_le_-1,fixed_horizon_12,base,2014,-0.06407471612205883,0.09292943837047271,-1.290464782698265,2014,-0.08708987113696215,0.007155268326488674,-1.7539900046984176,-0.023015155014903324,-0.46352522200015267
